image,store,color_name,color,cost,category,title,description
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\1nb.jpg,Soul Half Zipper,navy blue,#1a202e,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\2nb.jpg,Soul Half Zipper,navy blue,#1a202e,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\3nb.jpg,Soul Half Zipper,navy blue,#1a202e,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\4nb.jpg,Soul Half Zipper,navy blue,#1a202e,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\1g.jpg,Soul Half Zipper,grey,#c1c5ce,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\2g.jpg,Soul Half Zipper,grey,#c1c5ce,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\3g.jpg,Soul Half Zipper,grey,#c1c5ce,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\4g.jpg,Soul Half Zipper,grey,#c1c5ce,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\1m.jpg,Soul Half Zipper,maroon,#7d1f2d,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
E:\Projects\Frontend\loong scales\assests\top\Sweatshirts\SoulHalfZipper\2m.jpg,Soul Half Zipper,maroon,#7d1f2d,30,sweatshirts,Soul Half Zipper Sweatshirt,"100% cotton face.65% cotton, 35% polyester.Charcoal Heather is 55% cotton, 45% polyester.Heavyweight fabric: 8.5 oz/y² (288.2 g/m²).Regular fit"
